,0
151,6.596108
152,6.509697
153,6.2938766
154,9.617567
155,7.0104785
156,9.892601
157,7.125772
158,8.000437
159,7.477065
160,5.648132
161,5.458697
162,8.324027
163,5.6556334
164,7.538253
165,5.625329
166,4.9239225
167,5.808484
168,6.792554
169,7.971737
170,5.528498
171,10.071083
172,5.9233513
173,10.065773
174,6.746209
175,5.6017747
176,6.9384856
177,6.2384176
178,4.7238455
179,6.2127924
180,6.7146487
181,6.9610453
182,7.7860227
183,5.36068
184,6.873536
185,10.320525
186,4.8461566
187,5.625093
188,5.801323
189,5.9458313
190,11.430144
191,9.088729
192,5.505615
193,5.9601326
194,5.795435
195,6.4827147
196,5.983708
197,5.5695715
198,6.533675
199,9.73268
200,5.528255
201,5.417693
202,4.671433
203,4.350173
204,6.6467385
205,6.6475253
206,5.2392035
207,4.267529
208,5.5886045
209,7.9144034
210,5.150965
211,4.763204
212,7.777735
213,10.293254
214,8.194484
215,5.719558
216,6.263918
217,6.000456
218,6.318009
219,4.5959997
220,6.474525
221,7.4113274
222,7.553102
223,5.3698936
224,8.4535675
225,15.45269
226,5.2912917
227,10.718796
228,4.6663556
229,5.3617344
230,5.806309
231,5.2103357
232,4.8841205
233,6.488379
234,8.095099
235,6.731348
236,6.8607225
237,5.3860736
238,11.026034
239,9.627056
240,6.395954
241,8.848911
242,8.815106
243,5.5990944
244,8.326352
245,10.204457
246,4.6723013
247,7.4723516
248,7.247182
249,10.097439
250,8.290637
251,8.693193
252,4.8238196
253,8.238605
254,8.02464
255,6.2895994
256,6.6674175
257,10.33543
258,7.4199595
259,6.2686677
260,6.1393676
261,7.4060645
262,7.0035043
263,8.87428
264,6.9142876
265,6.58087
266,7.721072
267,7.2801642
268,5.4959717
269,6.401696
270,4.987004
271,5.5599074
272,6.3767214
273,6.5635214
274,6.935035
275,10.731307
276,8.675584
277,11.254238
278,9.772087
279,9.687109
280,10.09175
281,10.675356
282,9.396212
283,10.879218
284,9.998179
285,5.927567
286,10.596505
287,9.741192
288,9.19882
289,7.384795
290,8.78809
291,6.273627
292,7.5461826
293,5.3022327
294,9.335119
295,6.6129785
296,11.012453
297,9.459411
298,8.896266
299,6.9267483
300,9.702792
301,7.537895
302,10.903375
303,10.460093
304,10.536984
305,10.386465
306,7.4543123
307,9.388896
308,5.7300262
309,9.168435
310,5.693084
311,8.543486
312,10.683922
313,8.686009
314,8.494428
315,10.574459
316,8.230274
317,10.488965
318,8.7520485
319,7.541428
320,9.338402
321,7.6856837
322,7.254571
323,10.950561
324,10.244098
325,10.015138
326,9.344181
327,4.550062
328,5.7144284
329,11.142896
330,9.17047
331,8.696647
332,9.72675
333,9.511862
334,9.503698
335,9.44952
336,6.3454895
337,9.77157
338,10.999257
339,11.254991
340,10.834402
341,10.131891
342,7.349591
343,9.185538
344,10.005075
345,10.2741
346,10.126678
347,10.971706
348,11.669972
349,6.737357
350,5.4912515
351,9.094974
352,10.878458
353,9.087278
354,8.159947
355,8.494804
356,11.633742
357,8.837262
358,10.319907
359,8.085891
360,10.36697
361,6.9163117
362,8.325269
363,9.644867
364,4.799897
365,10.8365345
366,11.017004
367,11.349169
368,11.361398
369,10.070646
370,10.849513
371,8.997284
372,9.915784
373,9.821706
374,10.263566
375,5.3744607
376,5.431856
377,10.778648
378,6.6976976
379,5.5705514
380,10.921628
381,8.7687235
382,5.5799637
383,11.439143
384,8.202074
385,12.382808
386,5.314182
387,8.123039
388,8.178627
389,9.9331
390,6.6997156
391,7.1182036
392,9.916392
393,8.844073
394,5.117354
395,7.681081
396,9.706327
397,10.329604
398,10.126755
399,9.53068
400,6.072629
401,9.036779
402,8.891079
403,7.18977
404,11.226391
405,11.6107025
406,10.087604
407,10.443389
408,9.875638
409,9.371451
410,10.537493
411,8.094884
412,6.6627917
413,8.675584
414,6.235225
415,6.217991
416,5.6091743
417,9.256427
418,8.162064
419,5.857696
420,6.043114
421,9.594022
422,8.364431
423,6.2195415
424,7.251703
425,6.1329017
426,6.501968
427,8.405339
428,7.0303516
429,7.5416074
430,8.416298
431,5.7558928
432,6.9934807
433,6.0599537
434,5.8173437
435,7.6942024
436,8.538512
437,6.166589
438,6.6612396
439,5.992887
440,6.439537
441,6.4953375
442,5.8764763
443,7.288376
444,6.2798448
445,7.252215
446,8.26839
447,8.258533
448,5.731301
449,7.0176854
450,5.528324
451,6.716364
452,7.7288275
